identifier,name,legality,keywords,text,rarity,image,pitch value,life,intellect,attack,defense,cost,stats,id,language,flavour,set,finish,edition,sku,number,set.id,set.name,set.released,set.browseable,set.draftable,set.0
eye-of-ophidia,Eye of Ophidia,[],"['generic', 'resource', 'gem']","**Legendary** *(You may only have 1 Eye of Ophidia in your deck.)*

When you pitch Eye of Ophidia, **opt 2**.",Fabled,"https://fabdb2.imgix.net/cards/printings/ARC000-CF.png?w=400&fit=clip&auto=compress,format",3.0,,,,,,,863,en,"Beyond the turbulent waters of Death’s Knell, the ocean stretches as far as the eye can see, an endless, unfathomable expanse of deep blue. The keeper looks upon the shifting tides, feeling the weight of time within its weary soul. As the great divide draws near, it relinquishes a part of itself, bequeathing the gift of its immeasurable knowledge. Under the light of the pale moon, the ocean calls it home, and at last, the keeper sinks into the deep, undisturbed.",Arcane Rising,Cold foil,{},ARC000-CF,000,arc,Arcane Rising,2020-03-27,True,True,
eye-of-ophidia,Eye of Ophidia,[],"['generic', 'resource', 'gem']","**Legendary** *(You may only have 1 Eye of Ophidia in your deck.)*

When you pitch Eye of Ophidia, **opt 2**.",Fabled,"https://fabdb2.imgix.net/cards/printings/ARC000-CF.png?w=400&fit=clip&auto=compress,format",3.0,,,,,,,1281,en,"Beyond the turbulent waters of Death’s Knell, the ocean stretches as far as the eye can see, an endless, unfathomable expanse of deep blue. The keeper looks upon the shifting tides, feeling the weight of time within its weary soul. As the great divide draws near, it relinquishes a part of itself, bequeathing the gift of its immeasurable knowledge. Under the light of the pale moon, the ocean calls it home, and at last, the keeper sinks into the deep, undisturbed.",Arcane Rising Unlimited,Rainbow foil,{},U-ARC000-RF,000,arc,Arcane Rising,2020-03-27,True,True,
dash-inventor-extraordinaire,"Dash, Inventor Extraordinaire",[],"['mechanologist', 'hero']",You may start the game with a Mechanologist item with cost [2 Resource] or less in the arena. *(It's considered to have entered the arena.)*,T,"https://fabdb2.imgix.net/cards/printings/ARC001.png?w=400&fit=clip&auto=compress,format",,40.0,4.0,,,,,864,en,,Arcane Rising,Regular,{},ARC001,001,arc,Arcane Rising,2020-03-27,True,True,
dash-inventor-extraordinaire,"Dash, Inventor Extraordinaire",[],"['mechanologist', 'hero']",You may start the game with a Mechanologist item with cost [2 Resource] or less in the arena. *(It's considered to have entered the arena.)*,T,"https://fabdb2.imgix.net/cards/printings/ARC001.png?w=400&fit=clip&auto=compress,format",,40.0,4.0,,,,,1282,en,,Arcane Rising Unlimited,Regular,{},U-ARC001,001,arc,Arcane Rising,2020-03-27,True,True,
dash-inventor-extraordinaire,"Dash, Inventor Extraordinaire",[],"['mechanologist', 'hero']",You may start the game with a Mechanologist item with cost [2 Resource] or less in the arena. *(It's considered to have entered the arena.)*,T,"https://fabdb2.imgix.net/cards/printings/ARC001.png?w=400&fit=clip&auto=compress,format",,40.0,4.0,,,,,1885,en,,Crucible of War,Regular,{},CRU098,098,cru,Crucible of War,2020-08-28,True,,
dash-inventor-extraordinaire,"Dash, Inventor Extraordinaire",[],"['mechanologist', 'hero']",You may start the game with a Mechanologist item with cost [2 Resource] or less in the arena. *(It's considered to have entered the arena.)*,T,"https://fabdb2.imgix.net/cards/printings/ARC001.png?w=400&fit=clip&auto=compress,format",,40.0,4.0,,,,,2242,en,,Promo,Cold Foil,{},HER009-CF,009,her,Hero Promos,,,,browseable => false
dash-inventor-extraordinaire,"Dash, Inventor Extraordinaire",[],"['mechanologist', 'hero']",You may start the game with a Mechanologist item with cost [2 Resource] or less in the arena. *(It's considered to have entered the arena.)*,T,"https://fabdb2.imgix.net/cards/printings/ARC001.png?w=400&fit=clip&auto=compress,format",,40.0,4.0,,,,,2250,en,,Promo,Rainbow Foil,{},HER017-RF,017,her,Hero Promos,,,,browseable => false
dash-inventor-extraordinaire,"Dash, Inventor Extraordinaire",[],"['mechanologist', 'hero']",You may start the game with a Mechanologist item with cost [2 Resource] or less in the arena. *(It's considered to have entered the arena.)*,T,"https://fabdb2.imgix.net/cards/printings/ARC001.png?w=400&fit=clip&auto=compress,format",,40.0,4.0,,,,,3790,en,,Crucible of War,Regular,{},U-CRU098,098,cru,Crucible of War,2020-08-28,True,,
dash-inventor-extraordinaire,"Dash, Inventor Extraordinaire",[],"['mechanologist', 'hero']",You may start the game with a Mechanologist item with cost [2 Resource] or less in the arena. *(It's considered to have entered the arena.)*,T,"https://fabdb2.imgix.net/cards/printings/ARC001.png?w=400&fit=clip&auto=compress,format",,40.0,4.0,,,,,11716,en,,History Pack 1,Regular,{},1HP180,180,1hp,History Pack 1,2021-05-07,False,,
dash,Dash,[],"['mechanologist', 'hero', 'young']",You may start the game with a Mechanologist item with cost [2 Resource] or less in the arena. *(It's considered to have entered the arena.)*,T,"https://fabdb2.imgix.net/cards/printings/ARC002.png?w=400&fit=clip&auto=compress,format",,20.0,4.0,,,,,865,en,,Arcane Rising,Regular,{},ARC002,002,arc,Arcane Rising,2020-03-27,True,True,
dash,Dash,[],"['mechanologist', 'hero', 'young']",You may start the game with a Mechanologist item with cost [2 Resource] or less in the arena. *(It's considered to have entered the arena.)*,T,"https://fabdb2.imgix.net/cards/printings/ARC002.png?w=400&fit=clip&auto=compress,format",,20.0,4.0,,,,,1283,en,,Arcane Rising Unlimited,Regular,{},U-ARC002,002,arc,Arcane Rising,2020-03-27,True,True,
dash,Dash,[],"['mechanologist', 'hero', 'young']",You may start the game with a Mechanologist item with cost [2 Resource] or less in the arena. *(It's considered to have entered the arena.)*,T,"https://fabdb2.imgix.net/cards/printings/ARC002.png?w=400&fit=clip&auto=compress,format",,20.0,4.0,,,,,2246,en,,Promo,Rainbow Foil,{},HER013-RF,013,her,Hero Promos,,,,browseable => false
dash,Dash,[],"['mechanologist', 'hero', 'young']",You may start the game with a Mechanologist item with cost [2 Resource] or less in the arena. *(It's considered to have entered the arena.)*,T,"https://fabdb2.imgix.net/cards/printings/ARC002.png?w=400&fit=clip&auto=compress,format",,20.0,4.0,,,,,11717,en,,History Pack 1,Regular,{},1HP181,181,1hp,History Pack 1,2021-05-07,False,,
dash,Dash,[],"['mechanologist', 'hero', 'young']",You may start the game with a Mechanologist item with cost [2 Resource] or less in the arena. *(It's considered to have entered the arena.)*,T,"https://fabdb2.imgix.net/cards/printings/ARC002.png?w=400&fit=clip&auto=compress,format",,20.0,4.0,,,,,14230,en,,Promo,Cold Foil,{},HER070,070,her,Hero Promos,,,,browseable => false
