product,rarity,number,market price,listed median
Alluring Inducement,Majestic,DTD215,$0.75,—
Angelic Descent (Blue),Common,DTD034,$0.13,—
Angelic Descent (Red),Common,DTD032,$0.10,—
Angelic Descent (Yellow),Common,DTD033,$0.16,—
Angelic Wrath (Blue),Common,DTD037,$0.12,—
Angelic Wrath (Red),Common,DTD035,$0.10,—
Angelic Wrath (Yellow),Common,DTD036,$0.15,—
Anthem of Spring,Majestic,DTD196,$0.61,—
Banneret of Courage,Majestic,DTD048,$2.67,—
Banneret of Gallantry,Majestic,DTD049,$2.50,—
Banneret of Protection,Majestic,DTD050,$0.53,—
Banneret of Resilience,Rare,DTD054,$0.17,—
Banneret of Salvation,Rare,DTD055,$0.13,—
Banneret of Vigor,Rare,DTD056,$0.15,—
Bastion of Unity,Majestic,DTD206,$0.79,—
Battlefield Breaker (Blue),Rare,DTD123,$0.20,—
Battlefield Breaker (Red),Rare,DTD121,$0.12,—
Battlefield Breaker (Yellow),Rare,DTD122,$0.12,—
Beaming Blade,Rare,DTD046,$0.27,—
Beaming Bravado (Blue),Rare,DTD059,$0.24,—
Beaming Bravado (Red),Rare,DTD057,$0.10,—
Beaming Bravado (Yellow),Rare,DTD058,$0.10,—
Beckoning Light,Majestic,DTD051,$1.28,—
Bequest the Vast Beyond,Majestic,DTD212,$1.13,—
Beseech the Demigon (Blue),Common,DTD189,$0.07,—
Beseech the Demigon (Red),Common,DTD187,$0.16,—
Beseech the Demigon (Yellow),Common,DTD188,$0.09,—
Blessing of Salvation (Blue),Rare,DTD087,$0.15,—
Blessing of Salvation (Red),Rare,DTD085,$0.15,—
Blessing of Salvation (Yellow),Rare,DTD086,$0.12,—
Blistering Assault (Blue),Common,DTD093,$0.08,—
Blistering Assault (Red),Common,DTD091,$0.09,—
Blistering Assault (Yellow),Common,DTD092,$0.08,—
Blood Dripping Frenzy,Majestic,DTD111,$1.40,—
Boltyn,Common,DTD045,$0.05,—
Break of Dawn (Blue),Common,DTD102,$0.13,—
Break of Dawn (Red),Common,DTD100,$0.14,—
Break of Dawn (Yellow),Common,DTD101,$0.09,—
Call Down the Lightning,Majestic,DTD198,$0.60,—
Celestial Reprimand (Blue),Common,DTD040,$0.16,—
Celestial Reprimand (Red),Common,DTD038,$0.09,—
Celestial Reprimand (Yellow),Common,DTD039,$0.15,—
Celestial Resolve (Blue),Common,DTD043,$0.12,—
Celestial Resolve (Red),Common,DTD041,$0.13,—
Celestial Resolve (Yellow),Common,DTD042,$0.12,—
Censor,Majestic,DTD226,$2.86,—
Chains of Mephetis,Majestic,DTD170,$0.53,—
Charge of the Light Brigade (Blue),Common,DTD074,$0.10,—
Charge of the Light Brigade (Red),Common,DTD072,$0.13,—
Charge of the Light Brigade (Yellow),Common,DTD073,$0.13,—
Chorus of Ironsong,Majestic,DTD208,$1.07,—
Cleansing Light (Blue),Rare,DTD090,$0.26,—
Cleansing Light (Red),Rare,DTD088,$0.17,—
Cleansing Light (Yellow),Rare,DTD089,$0.15,—
Cloak of Darkness,Common,DTD166,$0.12,—
Courage,Common,DTD232,$0.15,—
Crown of Providence,Legendary,DTD221,$58.78,—
Dabble in Darkness,Majestic,DTD169,$0.32,—
Dance of Darkness,Common,DTD168,$0.10,—
Deathly Delight (Blue),Rare,DTD145,$0.14,—
Deathly Delight (Red),Rare,DTD143,$0.11,—
Deathly Delight (Yellow),Rare,DTD144,$0.10,—
Deathly Wail (Blue),Rare,DTD148,$0.12,—
Deathly Wail (Red),Rare,DTD146,$0.13,—
Deathly Wail (Yellow),Rare,DTD147,$0.13,—
Decimator Great Axe,Rare,DTD205,$0.40,—
Defender of Daybreak (Blue),Common,DTD096,$0.05,—
Defender of Daybreak (Red),Common,DTD094,$0.05,—
Defender of Daybreak (Yellow),Common,DTD095,$0.05,—
Diabolic Offering,Majestic,DTD107,$2.32,—
Diadem of Dreamstate,Legendary,DTD217,$49.14,—
Dig Up Dinner,Majestic,DTD202,$0.47,—
Dimenxxional Vortex,Majestic,DTD171,$0.34,—
Dyadic Carapace,Legendary,DTD211,$137.55,—
Dyadic Carapace (Extended Art),Legendary,DTD211,$138.14,—
Eloquence,Common,DTD233,$0.15,—
Embodiment of Earth,Common,DTD194,$0.26,—
Embodiment of Lightning,Common,DTD195,$0.15,—
Empyrean Rapture,Legendary,DTD004,$36.69,—
Empyrean Rapture (Extended Art),Legendary,DTD004,$132.56,—
Envelop in Darkness (Blue),Rare,DTD151,$0.16,—
Envelop in Darkness (Red),Rare,DTD149,$0.13,—
Envelop in Darkness (Yellow),Rare,DTD150,$0.11,—
Expendable Limbs,Majestic,DTD110,$0.62,—
"Figment of Erudition // Suraya, Archangel of Erudition",Majestic,DTD005,$6.47,—
"Figment of Erudition // Suraya, Archangel of Erudition (Marvel)",Marvel,DTD005,$97.76,—
"Figment of Judgment // Themis, Archangel of Judgment",Majestic,DTD006,$3.76,—
"Figment of Judgment // Themis, Archangel of Judgment (Marvel)",Marvel,DTD006,$74.61,—
"Figment of Protection // Aegis, Archangel of Protection",Majestic,DTD007,$6.69,—
"Figment of Protection // Aegis, Archangel of Protection (Marvel)",Marvel,DTD007,$123.23,—
"Figment of Ravages // Sekem, Archangel of Ravages",Majestic,DTD008,$3.47,—
"Figment of Ravages // Sekem, Archangel of Ravages (Marvel)",Marvel,DTD008,$86.07,—
"Figment of Rebirth // Avalon, Archangel of Rebirth",Majestic,DTD009,$5.48,—
"Figment of Rebirth // Avalon, Archangel of Rebirth (Marvel)",Marvel,DTD009,$105.38,—
"Figment of Tenacity // Metis, Archangel of Tenacity",Majestic,DTD010,$3.59,—
"Figment of Tenacity // Metis, Archangel of Tenacity (Marvel)",Marvel,DTD010,$62.31,—
"Figment of Triumph // Victoria, Archangel of Triumph",Majestic,DTD011,$6.98,—
"Figment of Triumph // Victoria, Archangel of Triumph (Marvel)",Marvel,DTD011,$79.60,—
"Figment of War // Bellona, Archangel of War",Majestic,DTD012,$4.71,—
"Figment of War // Bellona, Archangel of War (Marvel)",Marvel,DTD012,$78.18,—
Flail of Agony,Rare,DTD135,$0.18,—
Flicker Trick,Majestic,DTD218,$2.51,—
Frontline Gauntlets,Rare,DTD224,$0.18,—
Frontline Helm,Rare,DTD222,$0.26,—
Frontline Legs,Rare,DTD225,$0.27,—
Frontline Plating,Rare,DTD223,$0.31,—
Funeral Moon,Majestic,DTD140,$3.03,—
Glaring Impact (Blue),Common,DTD065,$0.11,—
Glaring Impact (Red),Common,DTD063,$0.11,—
Glaring Impact (Yellow),Common,DTD064,$0.11,—
Grasp of Darkness,Common,DTD167,$0.19,—
